angle,label,score
107,Sketch,0.608551025390625
107,Wood,0.5958532094955444
107,Beige,0.5484284162521362
108,Rock,0.6981205940246582
108,Tree,0.6869218349456787
108,Wood,0.6534817218780518
108,Geology,0.6497763991355896
108,Table,0.6379098296165466
108,Beige,0.5993316173553467
108,Drawing,0.5764970183372498
109,Leaf,0.7594611644744873
109,Rock,0.6438128352165222
109,Drawing,0.6070065498352051
109,Wood,0.5958532094955444
109,Beige,0.5484284162521362
109,Sketch,0.5196725130081177
110,Rock,0.6438128352165222
110,Drawing,0.6198696494102478
110,Wood,0.5958532094955444
110,Sketch,0.5659633874893188
110,Beige,0.5484284162521362
111,Leaf,0.8058615326881409
111,Beige,0.6367136240005493
111,Drawing,0.6198696494102478
111,Wood,0.5958532094955444
111,Rock,0.5422748923301697
111,Sketch,0.5196725130081177
112,Leaf,0.7594611644744873
112,Drawing,0.6769310235977173
112,Sketch,0.5973607301712036
112,Rock,0.5422748923301697
112,Illustration,0.5040763020515442
113,Leaf,0.8058615326881409
113,Drawing,0.6841849684715271
113,Sketch,0.6030424237251282
113,Beige,0.5484284162521362
113,Rock,0.5422748923301697
114,Yellow,0.8363301753997803
114,Leaf,0.8058615326881409
114,Drawing,0.7034391760826111
114,Sketch,0.6473897099494934
114,Pattern,0.5630630254745483
114,Turtle,0.5595926642417908
114,Beige,0.5484284162521362
114,Rock,0.5422748923301697
115,Yellow,0.8363301753997803
115,Leaf,0.7594611644744873
115,Rock,0.6981205940246582
115,Drawing,0.6841849684715271
115,Sketch,0.6516923308372498
115,Geology,0.6497763991355896
115,Pattern,0.5630630254745483
115,Tortoise,0.5036675333976746
116,Tortoise,0.7851099967956543
116,Turtle,0.7178438901901245
116,Geology,0.6796759366989136
116,Drawing,0.6608409881591797
116,Rock,0.6438128352165222
116,Sketch,0.6429780721664429
117,Yellow,0.8649448752403259
117,Leaf,0.7594611644744873
117,Turtle,0.6656447052955627
117,Drawing,0.6608409881591797
117,Geology,0.6497763991355896
117,Tortoise,0.6454249024391174
117,Rock,0.6438128352165222
117,Sketch,0.6290342211723328
117,Wood,0.5958532094955444
117,Pattern,0.5630630254745483
118,Yellow,0.8649448752403259
118,Leaf,0.8342376351356506
118,Beige,0.6886644959449768
118,Geology,0.6497763991355896
118,Rock,0.6438128352165222
118,Drawing,0.5764970183372498
118,Pattern,0.5630630254745483
118,Tortoise,0.5482150316238403
118,Turtle,0.513843834400177
119,Yellow,0.8363301753997803
119,Leaf,0.8058615326881409
119,Turtle,0.7691263556480408
119,Tortoise,0.7153517603874207
119,Sketch,0.693024754524231
119,Drawing,0.6909903883934021
119,Geology,0.6497763991355896
119,Rock,0.6438128352165222
119,Beige,0.6367136240005493
119,Pattern,0.5630630254745483
120,Turtle,0.9183990359306335
120,Tortoise,0.8763766884803772
120,Yellow,0.8363301753997803
120,Leaf,0.8058615326881409
120,Beige,0.6655752658843994
120,Drawing,0.6518564820289612
120,Rock,0.6438128352165222
120,Sea turtle,0.6279824376106262
120,Pattern,0.6189838647842407
120,Sketch,0.5973607301712036
121,Yellow,0.8363301753997803
121,Leaf,0.8058615326881409
121,Turtle,0.7835646867752075
121,Tortoise,0.7711043953895569
121,Drawing,0.6841849684715271
121,Sketch,0.6599893569946289
121,Geology,0.6497763991355896
121,Rock,0.6438128352165222
121,Beige,0.5993316173553467
121,Pattern,0.5630630254745483
122,Yellow,0.8649448752403259
122,Leaf,0.8342376351356506
122,Turtle,0.8293399214744568
122,Tortoise,0.7711043953895569
122,Rock,0.7335856556892395
